,title,freebase_movie_ID,vote_average,vote_counts,budget
209,Crime Doctor,/m/03ctywl,6.2,11,0
210,Suburban Girl,/m/0cn2s5,5.7,135,0
211,Boot Polish,/m/0bfzz0,6.8,5,0
212,Ethan Mao,/m/0kvbsw,4.6,11,0
213,Fairytale of Kathmandu,/m/03wc5v0,5.8,4,340000
214,Heebee Jeebees,/m/04lgqkp,0.0,0,0
215,College Coach,/m/02w28mv,4.8,6,0
216,Anbe Vaa,/m/03nx6f8,7.0,5,0
217,Some May Live,/m/0dgqlc1,0.0,0,0
218,Forever,/m/03yc76n,6.2,8,0
219,Grace of My Heart,/m/0fk60h,6.3,53,5000000
220,Images,/m/0c4fjm,6.9,113,0
221,City Out of Wilderness,/m/04zy_fy,0.0,0,0
222,The Tear That Burned,/m/03gzskn,0.0,0,0
223,How They Get There,/m/0b42bk,6.8,34,0
224,God's Gift to Women,/m/02q9jx_,5.8,5,0
225,The Gorgon,/m/06lnkr,6.3,126,0
226,The Prime of Miss Jean Brodie,/m/05sy5dr,6.9,93,0
227,Out: Stories of Lesbian and Gay Youth,/m/05zlkcx,1.0,1,0
228,Sioux City,/m/02rnyyt,5.5,7,0
229,Count Your Blessings,/m/0286qw2,4.2,4,0
230,The Moment After 2: The Awakening,/m/05zkfk2,5.5,10,0
231,Garage Days,/m/027b_lp,5.4,27,0
232,By Love Possessed,/m/05mrgyy,5.1,8,0
233,Puccini for Beginners,/m/02vpjr8,5.4,30,0
234,A Shot in the Dark,/m/03hq88,7.3,481,0
235,Riptide,/m/09vv2_y,6.5,4,0
236,5 Lies,/m/0crc6ns,4.5,2,0
237,Shaft,/m/0k47y,5.99,1182,46000000
238,The Ghost of Slumber Mountain,/m/0kvbs2,6.0,8,3000
239,Tortura nadziei,/m/0ddd6gs,0.0,0,0
240,Just Wright,/m/07kbj2s,6.3,356,0
241,Casper: A Spirited Beginning,/m/0617_4,5.4,301,0
242,Breaking the Surface: The Greg Louganis Story,/m/04j2ftt,5.5,20,0
243,The Big Trees,/m/0cvh_c,5.5,28,0
244,Betaab,/m/02qjr0p,6.9,8,0
245,Bless the Child,/m/04k12v,5.306,263,40000000
246,Kizhakku Cheemayile,/m/05f9pzw,5.5,1,0
247,Secrets,/m/04zz4c7,5.5,4,0
248,The Letter: An American Town and the 'Somali Invasion',/m/026jvpd,0.0,0,0
249,The Drums of Jeopardy,/m/0g5sly2,0.0,0,0
250,The Program,/m/09fgyt,6.3,85,0
251,Balseros,/m/095kx7,6.6,13,0
252,Hollywood Luck,/m/03cp9pv,0.0,0,0
253,Wolf's Clothing,/m/0bmbq75,0.0,0,0
254,Koko Flanel,/m/0hzp0wh,6.3,24,0
255,San Francisco,/m/0c1p3,6.7,63,1300000
256,A Girl Isn't Allowed to Love,/m/05b4ncx,0.0,0,0
257,The Emperor's Shadow,/m/03npxc,7.3,17,0
258,Aurore,/m/026hfp8,7.5,48,6000000
259,Unforgivable,/m/0g8p65k,0.0,0,0
260,The Shanty Where Santy Claus Lives,/m/04gng15,5.1,13,0
261,The Russian Question,/m/0gmds_9,5.8,4,0
262,Romasanta,/m/04q31n1,5.0,89,4500000
263,A Fire Has Been Arranged,/m/0gg7w4q,5.8,4,0
264,Ernest Goes to School,/m/0h09nh,3.6,65,0
265,Men Who Have Made Love to Me,/m/0gfdj0w,1.0,1,0
266,Heaven,/m/02w6ldz,6.3,6,0
267,Eagle of the Night,/m/03nt_q7,0.0,0,0
268,The Test,/m/0gk_rh_,3.2,2,0
269,The Price of Rendova,/m/026vnlf,0.0,0,0
270,Voodoo,/m/04j03bn,6.0,18,0
271,British Agent,/m/05b_rv_,5.5,12,0
272,Freelance Samurai,/m/05b35lt,5.2,4,0
273,Goldie,/m/027x4qz,4.0,2,0
274,Stage Beauty,/m/04rq8l,6.651,120,0
275,Arising from the Surface,/m/064qcjv,5.9,7,0
276,The Iron Lady,/m/0g9wdmc,6.375,1622,13000000
277,Dawn of the Mummy,/m/0cs0w8k,3.9,29,500000
278,The Land Before Time III: The Time of the Great Giving,/m/07kwyt,6.2,360,0
279,The 39 Steps,/m/0bb_jr,6.1,24,0
280,Next,/m/069dl1,6.067,2766,70000000
281,"Slunce, seno a pár facek",/m/0cp13g0,7.423,26,0
282,The Lady Vanishes,/m/0287gvq,7.475,833,0
283,The Seven Sisters,/m/0g58r53,2.0,1,0
284,Hattie,/m/0g9ypwc,6.5,11,0
285,Moonshine,/m/0kv2ly,0.0,0,9
286,Go Fish,/m/0gkjmf,4.5,25,0
287,The Contract,/m/0b6qmv,5.739,467,25000000
288,The Steamroller and the Violin,/m/0b5vsy,7.0,118,0
289,Love at Stake,/m/04068_w,6.4,9,0
290,Devil's Playground,/m/03_m_1,6.6,32,0
291,Legends of Anika,/m/0c01jp5,4.0,4,0
292,A Banda das Velhas Virgens,/m/03m6vb2,5.3,9,0
293,Ordinary Decent Criminal,/m/04xzt0,6.138,210,0
294,Ergens in Nederland,/m/05zmg39,4.0,1,0
295,Alice Through the Looking Glass,/m/04j0z21,5.7,15,0
296,O Auto da Compadecida,/m/0h3pq8x,8.406,1029,0
297,Cheat You Fair: The Story of Maxwell Street,/m/0bmjlqc,0.0,0,0
298,A King and His Movie,/m/02py6p6,5.7,7,0
299,The Killers,/m/05sxb6,6.9,158,0
300,G.I. Jane,/m/034f7w,6.429,1539,50000000
301,Typhoon Club,/m/09v3b9w,6.5,36,0
302,Too Outrageous!,/m/0fph2t0,0.0,0,0
303,Never a Dull Moment,/m/04ygt38,5.5,8,0
304,Snow Falling on Cedars,/m/060__7,6.1,128,35000000
305,The Abdication,/m/04zxcwj,5.8,8,0
306,Deadly Outbreak,/m/0gfp88,5.2,14,0
307,Chitty Chitty Bang Bang,/m/0b6qm3,6.787,592,10000000
308,Yanks,/m/0dhh3h,5.9,47,0
309,Meet Wally Sparks,/m/0kv2l4,4.7,44,12000000
310,The Red and the White,/m/02q550m,7.2,74,0
311,The Redhead from Wyoming,/m/02991z,6.1,10,0
312,"Pane, amore e...",/m/02zblr6,6.9,161,0
313,Harlow,/m/09thsq,5.7,3,0
314,Coney Island Baby,/m/071y5q,0.0,0,0
315,Godsend,/m/040280,4.878,444,25000000
316,Liar Game: The Final Stage,/m/0dsb9n0,7.6,36,0
317,Bal-Can-Can,/m/02vz0y9,7.1,19,0
318,Blackie the Pirate,/m/02pr22c,5.7,59,0
319,The Great Game,/m/07s4t6f,6.0,1,0
320,Open Season 3,/m/0c3tkft,5.6,566,0
321,Murder in Soho,/m/04jcb4k,5.0,1,0
322,Sabata,/m/02rdwrv,6.1,91,0
323,Niloofar,/m/04mw1fm,0.0,0,10000
324,Satyam Shivam Sundaram,/m/0g7889,7.0,10,0
325,Ethel,/m/0j24jlc,6.9,11,0
326,Tanya's Island,/m/03gtyp3,5.5,7,0
327,Don't Knock the Rock,/m/045rsk,5.7,7,0
328,A Steam Train Passes,/m/0g8bhz,0.0,0,0
329,And God Created Woman,/m/0gzfhh,4.3,31,0
330,Monster Dog,/m/0kv3jx,5.2,31,0
331,Du rififi chez les femmes,/m/0j3g2jk,5.8,5,0
332,"Jeff, Who Lives at Home",/m/0h66h0p,6.179,576,10000000
333,Live It Up!,/m/02pwbyx,6.0,5,0
334,Aparan,/m/05b_726,8.1,4,0
335,The Bridge,/m/0cwvf3,6.8,199,25000
336,The Eclipse,/m/05zptkl,6.1,43,3000000
337,Das schreckliche Mädchen,/m/0652hq,6.5,29,0
338,Magyar vándor,/m/0cz9fqw,6.0,13,0
339,Palmy Days,/m/027xs8k,7.2,4,0
340,Silver Queen,/m/051_7dt,5.3,3,0
341,The Amityville Haunting,/m/0hzm_x1,4.2,57,0
342,Nenè,/m/05fbcvt,4.7,8,0
343,The Frightened Man,/m/0gjdp3n,6.2,4,0
344,Wrestling,/m/09v4kv1,2.5,2,0
345,Recovered: Journeys Through the Autism Spectrum and Back,/m/05sz3w0,0.0,0,0
346,Grateful Dead: Backstage Pass,/m/02rf6q4,0.0,0,0
347,Wolfman,/m/0kv3j3,2.4,10,0
348,The Mortal Storm,/m/058q8s,7.1,70,0
349,Canaries Sometimes Sing,/m/0dlmyyq,0.0,0,0
350,Billy the Kid,/m/0dn17z,6.7,11,0
351,No Time for Sergeants,/m/07kgp1w,7.2,48,0
352,The Conquest,/m/0fq0dd3,4.3,7,0
353,10 Minutes,/m/0kvb07,6.6,29,0
354,Jekyll and Hyde... Together Again,/m/027hx6p,5.3,16,0
355,Rendezvous,/m/047n81_,5.3,5,0
356,Tora-san's Dream-Come-True,/m/09v5fbh,6.7,3,0
357,Innocent Sorcerers,/m/03c0vqz,7.1,26,0
358,The Breath of the Gods,/m/0h_dhx4,0.0,0,0
359,Strange Illusion,/m/07k4ypc,5.5,15,0
360,L'Étrange Désir de monsieur Bard,/m/0ds8rrl,6.3,6,0
361,Plašitelj kormorana,/m/0crfd83,0.0,0,0
362,Bastards of the Party,/m/0287pm9,5.4,9,0
363,Wetback: The Undocumented Documentary,/m/0f3xhp,6.2,6,0
364,Apache Blood,/m/09g68dr,2.6,5,0
365,If Winter Comes,/m/09gj_hn,6.8,4,0
366,Okinawa Rendez-vous,/m/04d2jm,6.0,9,0
367,The Happy Road,/m/04jjktx,5.6,7,575000
368,Berkeley,/m/02x46vd,6.5,4,0
369,Seytan,/m/0crzp9h,0.0,0,0
370,Six-Gun Trail,/m/07kd77x,5.0,1,0
371,Baaghi: A Rebel for Love,/m/02pw05g,6.8,5,0
372,Nice Guy Johnny,/m/0crdc2c,5.4,20,0
373,Bangkok Dangerous,/m/0fbrd7,5.161,945,45000000
374,"Napló apámnak, anyámnak",/m/0cdnkz,6.2,6,0
375,Charro!,/m/05wd_0,5.4,40,0
376,Hole in the Paper Sky,/m/0bbd8tp,0.0,0,0
377,Straight from the Heart,/m/051zsnx,4.5,4,0
378,Stranger in the House,/m/0czdh1j,5.7,6,0
379,Boogie-Woogie Dream,/m/0gj8gbn,0.0,0,0
380,The Magic Hour,/m/047b7yb,7.4,31,0
381,Bonanza: The Return,/m/03gtxrx,6.6,219,0
382,The Whistle Blower,/m/03m5fv7,5.9,32,0
383,Young Breasts,/m/0464hw5,0.0,0,0
384,Lifeguard,/m/026_5m2,6.0,27,0
385,Outland,/m/03dwzc,6.4,544,16000000
386,La llamada,/m/047th9v,0.0,0,0
387,Band Baaja Baaraat,/m/0dgp3km,6.61,114,0
388,Cinderella,/m/023p33,7.041,6315,2900000
389,Owd Bob,/m/0gh6hbl,5.9,4,0
390,The Last Song,/m/07ykkx5,7.243,3218,20000000
391,Vincent,/m/04jr3z,7.888,802,60000
392,Toy Porno,/m/04g0krd,0.0,0,0
393,Mister Smile,/m/03rpzz,0.0,0,0
394,Die Jungfrau auf dem Dach,/m/06w658c,5.0,4,0
395,Futile Attraction,/m/02x8n08,5.0,3,0
396,Zebra Lounge,/m/0bpnbl,4.0,31,0
397,Sleeping Beauties,/m/026f_k5,3.5,2,10000
398,Attack on Terror: The FBI vs. the Ku Klux Klan,/m/08wf8d,5.0,1,0
399,The Hanged Man,/m/0bs1_hx,4.2,3,0
400,My Fair Lady,/m/0cq7kw,7.524,1188,17000000
401,The House of Yes,/m/06nmwj,6.3,90,1500000
402,Resan bort,/m/0gtxz05,1.0,1,0
403,Gift Wrapped,/m/025z5dw,7.1,30,0
404,The Good Companions,/m/04f_wj4,0.0,0,0
405,Elvis In Concert,/m/026k70d,7.1,6,0
406,Drunk Driving,/m/0fq00gq,5.2,6,0
407,Allari Pidugu,/m/0fds50,0.0,0,0
408,Princesas,/m/0gfxs9,6.8,74,0
409,Female Prisoner Scorpion: Beast Stable,/m/03d780k,6.8,56,0
410,Maurie,/m/05f4nyh,0.0,0,0
411,Loyalties,/m/0k8xt82,0.0,0,0
412,The Committee,/m/02pyxxr,2.5,2,0
413,Day of Wrath,/m/096nrt,8.0,201,0
414,The Deserter,/m/04yftbt,0.0,0,0
415,Father Came Too!,/m/03c5zcj,5.9,9,0
416,Four Flies on Grey Velvet,/m/0dn94_,6.5,338,0
417,Introduction to Life,/m/043jt7q,6.0,3,0
418,Marie and Bruce,/m/07k4jw0,3.8,13,0
419,Sexual Desires in the Ladies' Restroom: Dripping!,/m/06w2rd_,2.0,1,0
420,Jack Smith and the Destruction of Atlantis,/m/0dnrcd,6.6,7,0
421,Salaam Bombay!,/m/06_461,7.3,84,0
422,Dance of the Dead,/m/0d3vw_,5.5,48,0
423,Big Bad Mama,/m/0d9j9b,5.6,55,0
424,La Voltige,/m/02qkk0c,5.3,56,0
425,Frightmare,/m/03csv6x,6.3,57,0
426,Old Sequoia,/m/04yc5nr,5.5,20,0
427,Overheard 2,/m/0gw_pc6,6.5,64,8000000
428,Life is Cool,/m/04cth_t,6.0,1,0
429,Meu Tio Matou Um Cara,/m/03c3048,6.074,156,10617600
430,Eyes of a Stranger,/m/07s83qp,5.9,54,800000
431,Aido: Slave of Love,/m/0bbz4tk,9.5,2,0
432,The Green Domino,/m/09gplxp,6.1,8,0
433,The Red Lily,/m/047c6gn,6.9,7,0
434,Pistol Pete: The Life and Times of Pete Maravich,/m/027pfhy,7.0,2,0
435,Jud Süß,/m/05c4_y9,4.053,38,0
436,Wasp,/m/027cvvr,7.3,98,0
437,House of Cards,/m/02vpp9c,6.291,67,0
438,Gangster's Paradise: Jerusalema,/m/07s7ql5,6.8,50,0
439,Murder on the Roof,/m/0gwyfgb,0.0,0,0
440,A Breath of Scandal,/m/0kv68c,5.4,11,0
441,Emanuelle in America,/m/0crv7_0,5.1,65,0
442,Trip,/m/0j65872,0.0,0,0
443,Melody,/m/09_rj4,5.6,14,0
444,Holiday Inn,/m/01l0jh,7.006,176,0
445,Puppet Master 5: The Final Chapter,/m/0h73_g,5.0,92,0
446,A Mom for Christmas,/m/071ndp,6.3,24,0
447,A Week's Vacation,/m/064nfm2,6.2,19,0
448,Bawke,/m/05zs7rr,6.4,7,0
449,Baazi,/m/027h46q,6.9,14,0
450,Tomorrow is Forever,/m/0kvb4f,6.0,31,0
451,No Kidding,/m/04lghfb,6.0,7,0
452,Looper,/m/0by1wkq,6.9,9701,30000000
453,Recreation,/m/0fyj8w,5.2,50,0
454,The Space Movie,/m/0412wd2,3.8,2,0
455,Lady Cocoa,/m/0gg9_b9,4.0,8,0
456,A Scream from Silence,/m/063zs7z,6.4,5,0
457,The Sky Crawlers,/m/04mmk2w,6.7,135,0
458,Carry On Teacher,/m/09vttt,6.3,47,0
459,A Shocking Accident,/m/04647kh,6.5,4,0
460,Confidential Lady,/m/0drw88x,2.0,1,0
461,Chu Chu and the Philly Flash,/m/0fmxlc,5.5,4,0
462,Sella Turcica,/m/0k9f_3f,4.8,4,20000
463,Bright Young Things,/m/03t8p6,6.3,73,10000000
464,Condemned to Live,/m/02809_l,5.0,11,0
465,Future Zone,/m/0crrckw,3.6,19,0
466,Cadence,/m/099107,6.7,83,0
467,Stroker Ace,/m/0dstt0,5.1,46,14000000
468,Caídos en el infierno,/m/06_y6ts,0.0,0,0
469,Crossover,/m/0fymw0,3.7,33,5800000
470,Le Mozart des Pickpockets,/m/03qhs4f,6.7,19,0
471,Jane Steps Out,/m/0bmb5y5,0.0,0,0
472,Late Spring,/m/03glq6,8.024,353,0
473,The Left Handed Gun,/m/02qxffp,6.0,93,0
474,It's a Grand Life,/m/0gffr08,6.5,1,0
475,They Met in Bombay,/m/02r1h_3,7.6,11,0
476,For Love of the Game,/m/04kkxx,6.483,383,50000000
477,Virus,/m/03ycb1b,4.6,8,0
478,Fast Company,/m/06zp728,0.0,0,0
479,This Sporting Life,/m/015gl2,7.0,97,286281
